id,match
kasten_blau_45_8_0324,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatterv Bitt"
kasten_blau_45_9_0171,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Dero"
kasten_blau_45_9_0118,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_9_0287,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Aus"
kasten_blau_44_10_0303,"Liebden, gegen welche mein <mark>herz</mark> ganz offen steht nie"
emt___77-8811-korrespondenz-kurfursten-5,"Durchleüchtiger Fürst, <mark>herz</mark> allerlibster herrh bruder Ich"
kasten_blau_45_15_0210,"Durchleüchtiger Cuhrfürst, mein <mark>herz</mark> allerliebster herr vatter Gestren"
kasten_blau_45_8_0110,"Durchleüchtigster Fürst, <mark>herz</mark> allerliebster herr vatter Bitte"
kasten_blau_45_9_0253,"Durchleüchtiger Fürst, <mark>herz</mark> allerlibster herr vatter Sage"
kasten_blau_44_6_0025,Pfalzgrauen bey Reyhn meinem <mark>herz</mark> allerliebsten herrnh brudern
kasten_blau_45_8_0239,"wohl abgangen. Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Dero"
kasten_blau_45_9_0022,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ewer"
kasten_blau_45_8_0199,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Dero"
emt___77-8811-korrespondenz-kurfursten-3,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herrh bruder Dero"
kasten_blau_45_15_0820,"Durchleüchtiger Curfürst, mein <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_8_0033,"Durchleüchtigster Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_8_0320,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_9_0444,"Durchleüchtiger Curfürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_44_6_0057,"Cuhrfürsten zu Pfalz, meinem <mark>herz</mark> aller libsten herrnh brudern"
kasten_blau_45_8_0108,"Durchleüchtigster Fürst, <mark>herz</mark> allerliebster herr vatter Es"
kasten_blau_45_8_0182,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_44_2d_0027,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr brueder Ich"
kasten_blau_44_7_0395,"hatte, dero Liebden mein <mark>herz</mark>lige lieb zu erweißen. Wüntsche"
kasten_blau_45_9_0009,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_15_0115,"Durchleüchtiger Cuhrfürst, mein <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_8_0184,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Bitte"
kasten_blau_45_9_0155,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ewer"
kasten_blau_45_8_0371,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ewer"
kasten_blau_45_9_0186,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Sag"
kasten_blau_44_6_0020,Pfalzgrauen bey Reyn meinem <mark>herz</mark> allerlibsten herrnh bruder
kasten_blau_44_9_0246,"vnmöglich kan, auch das <mark>herz</mark> zimlich voll ist. Werd"
kasten_blau_45_8_0038,"Durchleüchtigster Fürst, <mark>herz</mark> allerliebster herr vatter Es ist mihr <mark>herz</mark>lich leidt gewesen zu vernemmen"
kasten_blau_44_6_0088,ich mich mit ihnen <mark>herz</mark>ligst erfrewe vnd gratulire zu
kasten_blau_44_10_0267,"schreiben aufhalten, woh das <mark>herz</mark> voll, geht die feder"
kasten_blau_45_9_0394,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_15_0274,güette werden mein kintligen <mark>herz</mark> innikligsten wuntsch annoch in
kasten_blau_45_9_0004,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ewer"
kasten_blau_45_9_0065,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Es"
kasten_blau_45_15_0407,"Durchleüchtige Cuhrfürstin, mein <mark>herz</mark> allerlibste frawf mutter Heündt"
kasten_blau_44_11_0192,"Durchleüchtigster Curfürst, mein <mark>herz</mark>liebster herrh bruder Das dero"
kasten_blau_45_15_0835,"Durchleüchtiger Cuhrfürst, mein <mark>herz</mark> allerliebster herr vatter Ewer"
kasten_blau_45_8_0194,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ewer"
kasten_blau_45_8_0426,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Mitt"
kasten_blau_45_15_0034,"Durchleüchtiger Cuhrfürst, <mark>herz</mark> allerliebster herr vatter Aus"
kasten_blau_45_15_0351,"Durchleüchtiger Cuhrfürst, mein <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_9_0080,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_8_0029,"Durchleüchtigster Fürst, <mark>herz</mark> allerliebster herr vatter Ewer"
kasten_blau_45_8_0302,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herrh vaterv Ich"
kasten_blau_45_15_0239,"Durchleüchtiger Cuhrfürst, mein <mark>herz</mark> allerliebster herr vatterv Sag"
kasten_blau_45_15_0356,"Durchleüchtiger Cuhrfürst, mein <mark>herz</mark> allerliebster herr vatter Ewer"
kasten_blau_45_9_0040,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Mitt"
kasten_blau_45_8_0462,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Vohr"
kasten_blau_45_8_0424,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herrh vaterv Gott"
kasten_blau_44_8_0441,"ich dero Liebden so <mark>herz</mark>lich liebe, ich so vill"
kasten_blau_45_9_0055,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Mit"
kasten_blau_45_9_0041,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_8_0130,"Durchleüchtigster Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_8_0102,"Durchleüchtigster Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_8_0051,"Durchleüchtigster Fürst, <mark>herz</mark> allerliebster herr vatter Vor"
kasten_blau_45_8_0056,"Durchleüchtigster Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_9_0042,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Die"
kasten_blau_45_8_0449,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Mitt"
kasten_blau_45_8_0474,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Beyde"
kasten_blau_44_2d_0025,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr brueder Ich"
kasten_blau_45_8_0044,"Durchleüchtigster Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_9_0145,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Es"
kasten_blau_45_9_0291,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Dero"
kasten_blau_45_8_0144,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_9_0196,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ewer"
kasten_blau_45_8_0040,"Durchleüchtigster Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_9_0036,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Was"
kasten_blau_45_8_0226,"Durchleüchtigster Fürst, <mark>herz</mark> allerliebster herr vatter Es"
kasten_blau_45_8_0322,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Mitt"
kasten_blau_44_6_0016,Pfalzgrauen bey Reyhn meinem <mark>herz</mark> allerliebsten herrnh brudernbrud
kasten_blau_45_9_0214,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Mit"
kasten_blau_45_9_0274,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_9_0347,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Es"
kasten_blau_44_8_0161,"Curfürsten zu Pfalz, meinen <mark>herz</mark> allerlibsten herrnh brudern"
kasten_blau_45_9_0240,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Bitt"
kasten_blau_44_7_0352,"Durchleüchtiger Cuhrfürst, mein <mark>herz</mark> allerliebster herrh bruder Heündt"
kasten_blau_45_8_0028,"Durchleüchtigster Fürst, <mark>herz</mark> allerliebster herr vatter Durch"
kasten_blau_45_8_0411,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Es"
kasten_blau_45_8_0148,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_44_6_0034,"grauen bey Reyhn, meinem <mark>herz</mark>- allerliebsten herrnh bruedren"
kasten_blau_45_15_0871,"Durchleüchtiger Cuhrfürst, mein <mark>herz</mark> allerliebster herr vatter Ewer"
kasten_blau_45_8_0158,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_8_0427,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ewer"
kasten_blau_45_8_0355,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ewer"
kasten_blau_45_8_0389,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ewer"
kasten_blau_44_11_0099,herzallerlibster herrh bruder Mein <mark>herz</mark> ist so voller trost
emt___77-8811-korrespondenz-kurfursten-6,"Durchleüchtiger Fürst, <mark>herz</mark> allerlibster herbrueder Ich hab"
kasten_blau_45_8_0097,"Durchleüchtigster Fürst, <mark>herz</mark> allerliebster herr vatter Bitte"
kasten_blau_44_6_0243,"Durchleüchtiger Cuhrfürst, mein <mark>herz</mark> allerlibster herrh bruder Dero"
kasten_blau_45_15_0612,"Durchleüchtiger Cuhrfürst, mein <mark>herz</mark> allerliebster her vatter Bitt"
kasten_blau_45_8_0317,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Aus"
kasten_blau_45_9_0153,"Durchleuchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Bitt"
kasten_blau_45_8_0264,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ewer"
kasten_blau_45_9_0184,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Weil"
kasten_blau_45_8_0230,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Weil"
kasten_blau_45_15_0394,Durchleüchtiger Cuhrfürst mein <mark>herz</mark> allerliebster herr vatter Ich
kasten_blau_44_6_0090,"Durchleüchtiger Cuhrfürst, <mark>herz</mark> libster herrh bruderbrd. Ich"
kasten_blau_44_6_0053,"Cuhrfürsten zue Pfalz, meinem <mark>herz</mark> allerlibsten herrnh bruedren"
kasten_blau_45_9_0256,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herrhr vaterva Ewer"
kasten_blau_45_9_0479,"Durchleüchtiger Cuhrfürst, <mark>herz</mark> allerliebster h vatter Vohr"
kasten_blau_45_8_0065,"Durchleüchtigster Fürst, <mark>herz</mark> allerliebster herr vatter Es"
kasten_blau_45_9_0045,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_8_0128,"Durchleüchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Sage"
kasten_blau_45_8_0249,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ewer"
kasten_blau_45_15_0031,"Durchleüchtiger Cuhrfurst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_8_0252,"Durchleüchtigister Fürst, <mark>herz</mark> aller liebster herr vatter"
kasten_blau_45_9_0014,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Bitte"
kasten_blau_44_8_0382,"Curfürsten zu Pfalz, meinem <mark>herz</mark> allerliebsten herrnh bruder"
kasten_blau_44_7_0175,"96 Durchleüchtiger Cuhrfürst, mein <mark>herz</mark> allerlibster herrh bruder Kan"
kasten_blau_45_8_0420,"Durchleuchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_44_2d_0017,"Durchleuchtiger Fürst, <mark>herz</mark> allerliebster herbrueder Ich bedankhe"
kasten_blau_44_7_0408,"98 Durchleüchtiger Cuhrfürst, mein <mark>herz</mark> allerliebster herrh bruderbrud Ich"
emt___77-8811-korrespondenz-kurfursten,"beantwortet 1686 Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr bruder Mitt"
kasten_blau_45_9_0075,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_44_9_0098,"Curfürsten zu Pfalz, meinem <mark>herz</mark> allerlibsten herrnh brudern"
kasten_blau_45_9_0039,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_44_2d_0013,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr brueder Vohr"
kasten_blau_44_8_0148,"Dörchleüchtiger Curfürst, mein <mark>herz</mark> alerlibster herrh bruder Bitt"
kasten_blau_45_8_0054,"Durchleüchtigster Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_8_0233,"Durchleuchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_9_0332,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_8_0058,"Durchleüchtigster Fürst, <mark>herz</mark> aller liebster errh vatter"
kasten_blau_44_7_0111,"Steinchens ist mihr woll <mark>herz</mark>lich leidt, wan er was"
kasten_blau_45_9_0249,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
emt___77-8811-korrespondenz-kurfursten-2,"Durchleüchtiger Fürst, mein <mark>herz</mark> allerliebster herrh bruder Ich"
kasten_blau_45_9_0037,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Weilen"
kasten_blau_45_15_0294,"Durchleüchtiger Cuhrfürst, mein <mark>herz</mark> allerliebster herr vatter Ewer"
kasten_blau_45_9_0058,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ewer"
kasten_blau_45_15_0290,"Durchleüchtiger Cuhrfürst, mein <mark>herz</mark> allerliebster herrh vatter Ich"
kasten_blau_45_8_0247,"Durchleüchtiger fürst, <mark>herz</mark> allerliebster herr vatter Dero"
kasten_blau_45_9_0402,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Weil"
kasten_blau_45_9_0011,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Aus"
emt___77-8806c-2,"libsten frawf schwegerin ins <mark>herz</mark>, bitt mich zu entschuldigen,"
kasten_blau_45_15_0562,"Durchleüchtiger Cuhrfürst, mein <mark>herz</mark> allerliebster herr vatter Diße"
kasten_blau_45_15_0191,"Durchleüchtiger Cuhrfürst, mein <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_44_10_0369,das ich innen mein <mark>herz</mark> recht eroffne in allen
kasten_blau_45_8_0307,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ewer"
kasten_blau_45_15_0788,"Durchleüchtiger Cuhrfürst, mein <mark>herz</mark> allerlibster herrhr vatter Ewer"
kasten_blau_45_15_0073,"Durchleüchtiger Cuhrfürst, <mark>herz</mark> allerliebster herrr vatter Nach"
kasten_blau_45_8_0263,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Es"
kasten_blau_45_8_0456,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ewer"
kasten_blau_45_9_0151,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Bitt"
kasten_blau_45_9_0489,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Mitt"
kasten_blau_45_8_0112,"Durchleüchtigster Fürst, <mark>herz</mark> allerliebster herr vaterv Sag"
kasten_blau_45_8_0157,"Durchleuchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Mitt"
kasten_blau_44_6_0263,"Durchleüchtiger Cuhrfürst, mein <mark>herz</mark> allerlibster herrh bruder Ich"
kasten_blau_45_8_0271,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Wan"
kasten_blau_45_15_0108,"Durchleüchtiger cuhrfürst, mein <mark>herz</mark> allerliebster herr vatter Bitt"
kasten_blau_44_6_0249,"Durchleüchtiger Curfürst, mein <mark>herz</mark> allerlibster herrh bruder Weil"
kasten_blau_44_2d_0026,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herrh brueder Weil"
kasten_blau_45_9_0031,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
korrespondenzakten_1147_0060,"möcht er gahr das <mark>herz</mark> verlihren, sich wollen justifficiren"
kasten_blau_45_8_0367,"Durchleuchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_9_0379,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Mitt"
kasten_blau_45_8_0103,"Durchleüchtigster Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_8_0141,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Die"
kasten_blau_44_6_0475,"Durchleüchtiger Curfürst, mein <mark>herz</mark> allerliebster herrh bruder Der"
kasten_blau_45_8_0178,"Durchleuchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Habe"
kasten_blau_44_2d_0011,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herrh brueder Es"
kasten_blau_45_9_0061,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_8_0206,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Dero"
kasten_blau_45_8_0215,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Mitt"
kasten_blau_45_9_0168,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Gott"
kasten_blau_44_2d_0009,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr brueder Ich"
kasten_blau_45_9_0209,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Sag"
kasten_blau_45_9_0263,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_15_0532,"Durchleüchtiger Cuhrfürst, mein <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_8_0004,"Durchleüchtigster Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_15_0631,"Durchleüchtiger Cuhrfürst, mein <mark>herz</mark> allerliebster herrhr vatter Ich"
kasten_blau_45_9_0337,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Dero"
kasten_blau_45_9_0354,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Das"
kasten_blau_45_8_0444,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_9_0069,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Mitt"
kasten_blau_45_8_0078,"Durchleüchtigster Fürst, <mark>herz</mark> allerliebster herr vatter Dero"
kasten_blau_45_9_0366,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Dieweil"
kasten_blau_45_8_0075,"Durchleüchtigster Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_44_9_0171,"dero Liebden mein bedrüebts <mark>herz</mark> sehen könten, aus der"
emt___kasten-blau-45-11-fol-24v,Durchleüchtiger Fürst <mark>herz</mark> allerliebster herr vatter Ich
kasten_blau_45_9_0476,"Durchleüchtiger Cuhrfürst, <mark>herz</mark> allerliebster herrh vatter Vohr"
kasten_blau_45_9_0033,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ewer"
kasten_blau_45_8_0380,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_44_6_0013,"Pfalzgrauen bey Reyhn, meinen <mark>herz</mark> allerliebsten herrn brudren"
kasten_blau_45_9_0221,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Zue"
kasten_blau_45_9_0025,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_15_0220,"Durchleüchtiger Cuhrfürst, mein <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_8_0489,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Das"
kasten_blau_45_9_0049,Durchleüchtiger <mark>herz</mark> allerliebster herr vatter Ich
kasten_blau_45_9_0205,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Bitt"
kasten_blau_45_9_0187,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_8_0357,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herrh vatter Ewer"
kasten_blau_45_8_0414,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ewer"
kasten_blau_44_6_0285,"Durchleüchtiger Curfürst, mein <mark>herz</mark> allerliebster herrh brueder Von"
kasten_blau_45_15_0321,"Durchleüchtiger Cuhrfürst, <mark>herz</mark> allerliebster herr vatter Zue"
kasten_blau_45_9_0126,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_8_0219,Durchleüchtiger Fürst <mark>herz</mark> allerliebster herr vatter Dieweilen
kasten_blau_45_8_0467,"Durchleuchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Aus"
kasten_blau_45_9_0441,"Durchleüchtiger Cuhrfürst, <mark>herz</mark> allerliebster herr vatter Dero"
kasten_blau_44_7_0291,"Durchleüchtiger Cuhrfürst, mein <mark>herz</mark> allerlibster herrh bruder Nachdem"
kasten_blau_45_15_0085,"Durchleüchtiger Cuhrfürst, <mark>herz</mark> allerliebster herr vatter Dero"
kasten_blau_45_9_0295,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster her vatter Dero"
kasten_blau_44_6_0005,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herrh bruder Ich"
kasten_blau_45_8_0012,"Durchleüchtigster Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_8_0087,"Durchleüchtigster Fürst, <mark>herz</mark> aller liebster herr vatter"
kasten_blau_45_8_0118,"Durchleüchtigster Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_9_0464,"Durchleüchtiger Cuhrfürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_8_0068,"Durchleüchtigster Fürst, <mark>herz</mark> allerliebster herr vatter Es"
kasten_blau_45_9_0053,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Sag"
kasten_blau_45_15_0146,"Durchleüchtiger Cuhrfürst, mein <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_8_0049,"Durchleüchtigster Fürst, <mark>herz</mark> allerliebster herr vatter Dero"
kasten_blau_45_8_0121,"Durchleuchtigster Fürst, <mark>herz</mark> allerliebster herr vatter Bitte"
kasten_blau_45_9_0071,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_9_0212,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Zue"
kasten_blau_45_8_0392,müeßen mein zeher vndt <mark>herz</mark> an statt meiner reden
kasten_blau_44_9_0041,"die reso- lution des <mark>Herz</mark>ogen zu WolfenbüttelWolfenb LiebdenLd, die"
kasten_blau_45_9_0415,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Zue"
kasten_blau_45_9_0095,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Beyde"
kasten_blau_44_11_0312,"Durchleüchtigster Curfürst, mein <mark>herz</mark>liebster herrh bruder Vmb keine"
kasten_blau_45_15_0186,"Durchleüchtiger Cuhrfürst, mein <mark>herz</mark> allerlibster herrh vatter Ewer"
kasten_blau_45_9_0448,"Durchleüchtiger Cuhrfürst, mein <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_44_9_0066,bekommen wegen des Groß <mark>Herz</mark>och. Nuhn könen dero Liebden
kasten_blau_45_9_0047,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_8_0172,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Bey"
kasten_blau_45_15_0205,"Durchleüchtiger Cuhrfürst, mein <mark>herz</mark> allerlibster her vatter Ich"
kasten_blau_45_8_0313,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ewer"
